Employee Number,Account Type,Amount
IU317,Basic Pay,72000
IU354,Basic Pay,55000
IU355,Basic Pay,55000
IU363,Basic Pay,60000
IU360,Basic Pay,69000
IU361,Basic Pay,55000
IU341,Basic Pay,55000
IU379,Basic Pay,55000
IU334,Basic Pay,100000
IU324,Basic Pay,102000
IU362,Basic Pay,20000
IU320,Basic Pay,20000
IU373,Basic Pay,20000
IU374,Basic Pay,20000
IU351,Basic Pay,130000
IU321,Basic Pay,66000
IU335,Basic Pay,60000
IU340,Basic Pay,55000
IU364,Basic Pay,50000
IU329,Basic Pay,60000
IU384,Basic Pay,30000
IU356,Basic Pay,60000
IU381,Basic Pay,30000
IU327,Basic Pay,30000
IU383,Basic Pay,25000
IU378,Basic Pay,25000
IU328,Basic Pay,22000
IU377,Basic Pay,25000
IU365,Basic Pay,22000
IU397,Basic Pay,22000
IU398,Basic Pay,22000
IU399,Basic Pay,25000
IU406,Basic Pay,25000
IU418,Basic Pay,25000
IU417,Basic Pay,25000
IU415,Basic Pay,22000
IU413,Basic Pay,22000
IU412,Basic Pay,25000
IU410,Basic Pay,25000
IU409,Basic Pay,13095.24
IU428,Basic Pay,25000
IU427,Basic Pay,25000
IU426,Basic Pay,30000
IU425,Basic Pay,25000
IU424,Basic Pay,25000
IU420,Basic Pay,50000
IU419,Basic Pay,22000
IU435,Basic Pay,25000
IU434,Basic Pay,25000
IU433,Basic Pay,22000
IU432,Basic Pay,22000
IU431,Basic Pay,22000
IU430,Basic Pay,22000
IU429,Basic Pay,22000
IU437,Basic Pay,25000
IU439,Basic Pay,25000
IU442,Basic Pay,25000
IU444,Basic Pay,25000
IU446,Basic Pay,182000
IU445,Basic Pay,60000
IU474,Basic Pay,22000
IU479,Basic Pay,55000
IU457,Basic Pay,22000
IU464,Basic Pay,25000
IU471,Basic Pay,25000
IU476,Basic Pay,20000
IU454,Basic Pay,20000
IU458,Basic Pay,20000
IU486,Basic Pay,20000
IU480,Basic Pay,55000
IU461,Basic Pay,20000
IU482,Basic Pay,20000
IU459,Basic Pay,20000
