Employee Number,Basic Pay,Overtime,Leave Pay,Arrears Pay,Commision Pay,Notice Pay,HELB Deduction,Safaricom Sacco
IU317,72000,0,0,0,0,0,0,10000
IU354,55000,16659,0,0,0,0,0,0
IU355,55000,17891,0,0,0,0,0,0
IU363,60000,18153,0,0,0,0,0,7000
IU360,69000,22445,0,0,0,0,0,7000
IU361,55000,36484,0,0,0,0,0,5000
IU341,55000,22500,0,0,0,0,0,0
IU379,55000,19773,0,0,0,0,0,0
IU334,100000,0,0,0,0,0,0,0
IU324,102000,0,0,0,0,0,0,0
IU362,20000,0,0,0,0,0,0,10900
IU320,20000,0,0,6086.96,0,0,0,0
IU373,20000,0,0,6086.96,0,0,0,0
IU374,20000,0,0,0,0,0,0,0
IU351,130000,0,0,0,0,0,0,0
IU321,66000,0,0,0,3000,0,0,4000
IU335,60000,0,0,0,0,0,0,0
IU340,55000,0,0,0,0,0,0,9000
IU364,50000,0,0,0,3000,0,0,0
IU329,60000,0,0,0,0,0,0,0
IU384,30000,0,0,0,38775,0,0,0
IU356,60000,0,0,0,0,0,0,0
IU381,30000,0,0,0,12910,0,0,0
IU327,30000,0,0,0,0,0,0,0
IU383,25000,0,0,0,2000,0,0,0
IU378,25000,0,0,0,39100,0,0,0
IU328,22000,0,0,0,12040,0,0,0
IU377,25000,0,0,0,38400,0,0,0
IU365,22000,0,0,0,0,0,0,0
IU397,22000,0,0,0,19250,0,0,0
IU398,22000,0,0,0,5600,0,0,0
IU399,25000,0,0,0,25950,0,0,0
IU406,25000,0,0,0,2600,0,0,7000
IU418,25000,0,0,0,27060,0,0,0
IU417,25000,0,0,0,18950,0,0,0
IU415,22000,0,0,0,43690,0,0,0
IU413,22000,0,0,0,36150,0,0,0
IU412,25000,0,0,0,39975,0,0,0
IU410,25000,0,0,0,24380,0,0,5000
IU409,13095.24,0,8333.33,0,11950,-20000,0,4000
IU428,25000,0,0,0,9800,0,0,0
IU427,25000,0,0,0,14100,0,0,0
IU426,30000,0,0,0,29520,0,0,0
IU425,25000,0,0,0,25800,0,0,0
IU424,25000,0,0,0,24000,0,0,0
IU420,50000,0,0,0,3000,0,0,0
IU419,22000,0,0,0,6400,0,0,3000
IU435,25000,0,0,0,19400,0,0,0
IU434,25000,0,0,0,14120,0,0,0
IU433,22000,0,0,0,1000,0,0,0
