Employee Number,Basic Pay,Days Not Worked,Overtime,Leave Pay,Arrears Pay,Commission Pay,Notice Pay,HELB,Safaricom SACCO
IU347,72000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU386,55000.00,0.00,16659.00,0.00,0.00,0.00,0.00,0.00,0.00
IU358,55000.00,0.00,17891.00,0.00,0.00,0.00,0.00,0.00,4000.00
IU331,60000.00,0.00,18153.00,0.00,0.00,0.00,0.00,0.00,0.00
IU325,69000.00,0.00,22445.00,0.00,0.00,0.00,0.00,0.00,10000.00
IU359,55000.00,0.00,36484.00,0.00,0.00,0.00,0.00,0.00,0.00
IU382,55000.00,0.00,22500.00,0.00,0.00,0.00,0.00,0.00,0.00
IU369,55000.00,0.00,19773.00,0.00,0.00,0.00,0.00,0.00,7000.00
IU443,100000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7000.00
IU007,102000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5000.00
IU506,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU507,20000.00,0.00,0.00,0.00,6086.96,0.00,0.00,0.00,0.00
IU508,20000.00,0.00,0.00,0.00,6086.96,0.00,0.00,0.00,0.00
IU509,20000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU051,130000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10900.00
IU008,66000.00,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,0.00
IU078,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU065,55000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU056,50000.00,0.00,0.00,0.00,0.00,3000.00,0.00,0.00,0.00
IU024,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4000.00
IU113,30000.00,0.00,0.00,0.00,0.00,38775.00,0.00,0.00,0.00
IU086,60000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9000.00
IU126,30000.00,0.00,0.00,0.00,0.00,12910.00,0.00,0.00,0.00
IU053,30000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU167,25000.00,0.00,0.00,0.00,0.00,2000.00,0.00,0.00,0.00
IU169,25000.00,0.00,0.00,0.00,0.00,39100.00,0.00,0.00,0.00
IU164,22000.00,0.00,0.00,0.00,0.00,12040.00,0.00,0.00,0.00
IU180,25000.00,0.00,0.00,0.00,0.00,38400.00,0.00,0.00,0.00
IU162,22000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IU209,22000.00,0.00,0.00,0.00,0.00,19250.00,0.00,0.00,0.00
IU183,22000.00,0.00,0.00,0.00,0.00,5600.00,0.00,0.00,0.00
IU223,25000.00,0.00,0.00,0.00,0.00,25950.00,0.00,0.00,0.00
IU197,25000.00,0.00,0.00,0.00,0.00,2600.00,0.00,0.00,0.00
IU165,25000.00,0.00,0.00,0.00,0.00,27060.00,0.00,0.00,0.00
IU190,25000.00,0.00,0.00,0.00,0.00,18950.00,0.00,0.00,0.00
IU208,22000.00,0.00,0.00,0.00,0.00,43690.00,0.00,0.00,0.00
IU206,22000.00,0.00,0.00,0.00,0.00,36150.00,0.00,0.00,7000.00
IU184,25000.00,0.00,0.00,0.00,0.00,39975.00,0.00,0.00,0.00
IU210,25000.00,0.00,0.00,0.00,0.00,24380.00,0.00,0.00,0.00
IU196,13095.24,0.00,0.00,8333.33,0.00,11950.00,-20000.00,0.00,0.00
IU179,25000.00,0.00,0.00,0.00,0.00,9800.00,0.00,0.00,0.00
IU170,25000.00,0.00,0.00,0.00,0.00,14100.00,0.00,0.00,0.00
IU205,30000.00,0.00,0.00,0.00,0.00,29520.00,0.00,0.00,5000.00
IU161,25000.00,0.00,0.00,0.00,0.00,25800.00,0.00,0.00,4000.00
IU173,25000.00,0.00,0.00,0.00,0.00,24000.00,0.00,0.00,0.00
