Employee Number,Account Type,Amount
IU196,Notice Pay,-20000
IU176,Arrears Pay,0.57
IU239,Overtime,102
IU219,Commission Pay,1000
IU218,Commission Pay,1000
IU280,Commission Pay,1000
IU398,Commission Pay,1000
IU424,Commission Pay,1000
IU480,Commission Pay,1000
IU461,Commission Pay,1000
IU482,Commission Pay,1000
IU493,Commission Pay,1000
IU500,Commission Pay,1000
IU502,Commission Pay,1000
IU418,Commission Pay,1350
IU439,Commission Pay,1350
IU273,Commission Pay,1400
IU321,Commission Pay,1400
IU452,Commission Pay,1400
IU462,Commission Pay,1400
IU496,Commission Pay,1400
IU379,Commission Pay,1600
IU351,Commission Pay,1600
IU276,Commission Pay,1750
IU335,Commission Pay,1750
IU364,Commission Pay,1750
IU399,Commission Pay,1800
IU426,Commission Pay,1800
IU495,Commission Pay,1800
IU167,Commission Pay,2000
IU412,Commission Pay,2000
IU409,Commission Pay,2000
IU428,Commission Pay,2000
IU435,Commission Pay,2000
IU431,Commission Pay,2000
IU437,Commission Pay,2000
IU138,HELB Deduction,2000
IU282,Commission Pay,2200
IU425,Commission Pay,2260
IU446,HELB Deduction,2498.3
IU415,Commission Pay,2550
IU433,Commission Pay,2560
IU197,Commission Pay,2600
IU341,Commission Pay,2600
IU374,Commission Pay,2750
IU397,Commission Pay,2800
IU176,Basic Pay,2857.14
IU360,Commission Pay,2950
IU008,Commission Pay,3000
IU056,Commission Pay,3000
IU175,Commission Pay,3000
IU232,Commission Pay,3000
IU238,Commission Pay,3000
IU301,Commission Pay,3000
IU302,Commission Pay,3000
IU303,Commission Pay,3000
IU304,Commission Pay,3000
IU377,Commission Pay,3000
IU365,Commission Pay,3000
IU445,Commission Pay,3000
IU016,HELB Deduction,3000
IU069,HELB Deduction,3000
IU224,Safaricom Sacco,3000
IU230,Safaricom Sacco,3000
IU355,Safaricom Sacco,3000
IU088,Safaricom Sacco,3000
IU103,Safaricom Sacco,3000
IU019,Safaricom Sacco,3000
IU091,Safaricom Sacco,3000
IU456,Commission Pay,3010
IU420,Commission Pay,3050
IU494,Commission Pay,3050
IU289,Commission Pay,3160
IU464,Commission Pay,3190
IU413,Commission Pay,3240
IU458,Commission Pay,3320
IU427,Commission Pay,3330
IU498,Leave Pay,3333.33
IU327,Commission Pay,3350
IU466,Commission Pay,3350
IU329,Commission Pay,3430
IU356,Safaricom Sacco,3500
IU378,Commission Pay,3520
IU013,HELB Deduction,3531
IU463,Commission Pay,3570
IU384,Commission Pay,3590
IU454,Commission Pay,3650
IU459,Commission Pay,3730
IU479,Commission Pay,3740
IU286,Commission Pay,3800
IU429,Commission Pay,3800
IU497,Commission Pay,3830
IU262,Safaricom Sacco,3850
IU262,HELB Deduction,3896
IU486,Commission Pay,3960
IU334,Commission Pay,3970
IU266,Commission Pay,4000
IU478,Commission Pay,4000
IU358,Safaricom Sacco,4000
IU024,Safaricom Sacco,4000
IU161,Safaricom Sacco,4000
IU438,Safaricom Sacco,4000
IU469,Commission Pay,4050
IU363,Commission Pay,4060
IU499,Commission Pay,4060
IU337,HELB Deduction,4080.3
IU290,HELB Deduction,4087
IU261,HELB Deduction,4188
IU275,HELB Deduction,4212
IU277,HELB Deduction,4212
IU080,HELB Deduction,4228
IU272,Commission Pay,4260
IU457,Commission Pay,4290
IU271,HELB Deduction,4393
IU383,Commission Pay,4500
IU246,HELB Deduction,4648.7
IU361,Commission Pay,4720
IU419,Commission Pay,4730
IU320,Commission Pay,4860
IU430,Commission Pay,4910
IU487,HELB Deduction,5000
IU488,HELB Deduction,5000
IU134,HELB Deduction,5000
IU007,Safaricom Sacco,5000
IU205,Safaricom Sacco,5000
IU120,Safaricom Sacco,5000
IU135,Safaricom Sacco,5000
IU006,Safaricom Sacco,5000
IU149,Safaricom Sacco,5000
IU290,Safaricom Sacco,5000
IU438,HELB Deduction,5008.3
IU402,HELB Deduction,5049.4
IU432,Commission Pay,5060
IU356,Commission Pay,5180
IU410,Commission Pay,5220
IU022,HELB Deduction,5378
IU373,Commission Pay,5420
IU183,Commission Pay,5600
IU492,Safaricom Sacco,6000
IU269,Commission Pay,6040
IU507,Arrears Pay,6086.96
IU508,Arrears Pay,6086.96
IU093,Safaricom Sacco,6136.4
IU450,HELB Deduction,6194.3
IU406,Commission Pay,6220
IU328,Commission Pay,6310
IU221,Commission Pay,6400
IU283,Commission Pay,6970
IU369,Safaricom Sacco,7000
IU443,Safaricom Sacco,7000
IU206,Safaricom Sacco,7000
IU098,Safaricom Sacco,7000
IU442,Commission Pay,7200
IU434,Commission Pay,7440
IU501,Commission Pay,7930
IU261,Safaricom Sacco,8000
IU340,Commission Pay,8200
IU196,Leave Pay,8333.33
IU100,Safaricom Sacco,8561.15
IU354,Safaricom Sacco,8731.46
IU086,Safaricom Sacco,9000
IU324,Commission Pay,9160
IU265,Commission Pay,9170
IU097,Overtime,9255
IU305,Safaricom Sacco,9350
IU498,Commission Pay,9430
IU279,Commission Pay,9670
IU179,Commission Pay,9800
IU325,Safaricom Sacco,10000
IU453,Safaricom Sacco,10000
IU402,Safaricom Sacco,10000
IU028,Safaricom Sacco,10000
IU005,Safaricom Sacco,10000
IU119,Safaricom Sacco,10000
IU044,Safaricom Sacco,10000
IU227,Safaricom Sacco,10000
IU278,Safaricom Sacco,10000
IU016,Overtime,10082
IU337,Overtime,10781
IU230,Commission Pay,10800
IU051,Safaricom Sacco,10900
IU295,Safaricom Sacco,11000
IU017,Safaricom Sacco,11000
IU474,Commission Pay,11460
IU196,Commission Pay,11950
IU164,Commission Pay,12040
IU490,Safaricom Sacco,12673.34
IU298,Safaricom Sacco,12687
IU215,Commission Pay,12770
IU126,Commission Pay,12910
IU055,Safaricom Sacco,13000
IU196,Basic Pay,13095.24
IU467,Commission Pay,13165
IU144,Overtime,13364
IU044,Leave Pay,14000
IU135,Overtime,14028
IU309,Overtime,14089
IU170,Commission Pay,14100
IU198,Commission Pay,14120
IU214,Commission Pay,14300
IU257,HELB Deduction,14530
IU471,Commission Pay,14550
IU248,Safaricom Sacco,14773.4
IU068,Safaricom Sacco,15000
IU498,Basic Pay,15238.1
IU244,Overtime,15273
IU476,Commission Pay,16600
